Label,Stage,Trigger-Set
a,DEN,Loss (MSE) only
b,DEN,Equality/Inequality threshold only
c,DEN,Loss (MSE) + Threshold
d,ADP Patience,Loss (MSE) only
d,ADP Expansion,Loss (MSE) only
e,ADP Patience,Loss (MSE) only
e,ADP Expansion,Threshold only
f,ADP Patience,Loss (MSE) only
f,ADP Expansion,Loss (MSE) + Threshold
g,ADP Patience,Threshold only
g,ADP Expansion,Loss (MSE) only
h,ADP Patience,Threshold only
h,ADP Expansion,Threshold only
i,ADP Patience,Threshold only
i,ADP Expansion,Loss (MSE) + Threshold
j,ADP Patience,Loss (MSE) + Threshold
j,ADP Expansion,Loss (MSE) only
k,ADP Patience,Loss (MSE) + Threshold
k,ADP Expansion,Threshold only
l,ADP Patience,Loss (MSE) + Threshold
l,ADP Expansion,Loss (MSE) + Threshold
